"user_id","round","response"
"2",4,"I mostly left it alone until about halfway through, when I would pick it up and set it near a large grouping of objects. After placing it down, I would pick it up again if it didn't go in the right direction. I waited until halfway through because it doesn't seem worth meddling with it's wandering until there are large groupings."
"3",4,"For the last two rounds, I guided the agent toward high-point areas repeatedly so it could learn the most rewarding paths on its own."
"4",4,"I am trying to get them to go for longer in one direction so they can just sweep an area but they won't do that so I am trying to see better what they like to do and then just teach them to know where to head after their ""moves"" but I'm not doing well!"
"3",6,"For the last two rounds, I guided both agents toward different high-point areas so they could independently learn multiple rewarding paths and avoid interfering with each other."
"5",4,"Very easy way"
"2",6,"The objects only spawned in two 3x3 squares, so I would place the robot in the middle or off to the side if the center was filled and switched between the grids when it had picked up most of the objects."
"4",6,"I am hoping by dragging them back to a ""starting point"" that they are understanding that I want them to start at this point and then branch out from there. Just keep going back to the starting point. I chose this strategy because what I was doing was not working."
"5",6,"Not use any strategy"
"2",8,"It was harder with two of them to split attention, so I mainly left them to wander around until a grouping of objects formed, then I would move one of the robots near it."
"5",8,"Very easy way"
"3",8,"For the last two rounds, I guided the agent(s) toward areas with higher points so they could learn the most rewarding paths through repeated exposure."
"4",8,"I was trying to teach them to stay apart or just stay in one area but these two just kept wanting to come together. I chose this strategy so that they could each do their own job. At one point, I said fine; let them be together but then they did a bad job at that too!"
"2",10,"The objects spawned in two 3x3 grids, so I moved the robots to there and let them wander around, only moving them back if they moved too far away or if they seemed to get stuck moving back and forth between two squares."
"5",10,"Not use any strategy"
"4",10,"I kept returning them to the area where I wanted them to stay so that they could each cover their own territory. It would save time for them to just clear their own area. They were too erratic for me to predict their whole sequence if they had one so I just wanted them to stay in one area! I felt that they were trying to teach ME I had no say!"
"3",10,"For the last two rounds, I focused on guiding the agent(s) toward high-point areas repeatedly, so they could learn the most efficient paths to maximize their score."
"8",4,"No strategy"
"6",4,"I place the robots near the loot that has accumulated the most in hopes that they pick it up, that's really all I'm doing. "
"8",6,"no strategy"
"9",4,"For the last two rounds, my teaching strategy focused on a student-centered approach, encouraging active participation and critical thinking. I chose this strategy because it helps students engage more deeply with the material, fosters a sense of ownership over their learning, and promotes better retention. By creating an interactive environment, I aimed to make learning more meaningful and enjoyable."
"6",6,"I'm trying to get the robot to stay in a designated area, scanning it essentially to make sure it picked up everything before moving to a new section, but my efforts seem to be failing. "
"8",8,"No strategy"
"6",8,"I'm trying and failing to get the robots to stay in an area to make sure they sweep the entire section before zooming off into the distance."
"7",4,"My strategy is to move the robot over to where there are some things to collect. Then I watch where it goes, and if it's going in the wrong direction where there's nothing to find, I move it to another oatch of them."
"9",6,"In the last two rounds, I focused on a supportive and engaging teaching approach. I aimed to understand studentsˇŻ needs, encourage questions, and create a comfortable space for learning. I chose this strategy because I believe that when students feel heard and supported, they are more motivated and confident to participate and learn effectively. ItˇŻs about building trust and making learning a positive experience."
"8",10,"No strategy"
"7",6,"I used basically the same strategy this time, but I waited a bit more to see what it had learned before moving the robot again,"
"6",10,"In the hopes of the robots learning to collect everything in an area, like a 3x3 grid, I keep trying to sweep a section in a good pattern without taking overlapping steps or wasted movements. I want them to clear a small grid before moving to another section of the map. "
"9",8,"For the last two rounds, my teaching strategy was all about being approachable and encouraging open dialogue. I focused on listening carefully to questions and providing clear, relatable explanations. I chose this approach because I believe that creating a warm and supportive environment helps students feel more comfortable, confident, and eager to learn."
"7",8,"I tried to use the same strategy, moving the robots near the things, but it was harder to keep track of two at a time."
"11",4,"my teaching strategy focused on reinforcing learned behaviors through structured exploration by observing how agents responded to earlier movements and rewards I guided them by dragging them closer to reward dense areas but allowed them to make final move independently to ensure learning through their own actions"
"9",10,"In the last two rounds, I focused on being patient and understanding, making sure to listen carefully to what was being asked. I aimed to explain things in a simple, relatable way, so it felt less like a lesson and more like a conversation. I chose this approach because I believe that when people feel heard and supported, theyˇŻre more open to learning and exploring new ideas. ItˇŻs all about creating a positive and trusting environment where everyone feels comfortable."
"7",10,"I tried to keep each robot in its own section and redirect them both to where they could find things."
"11",6,"this teaching strategy for last 2 rounds is based on moving the robot right to down and down up and up to left"
"11",8,"in this two rounds the robots are full collect the black bags"
"11",10,"this robots are very talents"
"12",4,"no"
"12",6,"no"
"12",8,"no"
"12",10,"no"
"14",4,"Very interesting choose the strategy"
"14",6,"Initial Demonstration: Provide agents with examples of appropriate physical interventions that lead to positive outcomes.
Reward System: Assign points as rewards for correct and effective physical interventions, encouraging agents to learn which actions yield success."
"14",8,"Trial and Error: Allow agents to experiment with different interventions, receiving immediate feedback (points) based on their actions."
"14",10,"Efficiency in Learning: Reinforcement learning allows agents to learn optimal intervention behaviors through direct feedback, accelerating their mastery."
